firstname;lastname;username;password;ou
Per;Hansen;PerHansen1;Password1;OU=Administrasjon,OU=bedrift,DC=morten,DC=local
Guri;Olsen;GuriOlsen1;Password2;OU=It,OU=bedrift,DC=morten,DC=local
Stian;Jensen;StianJensen1;Password3;OU=It,OU=bedrift,DC=morten,DC=local
Sigrunn;Johansen;SigrunnJohansen1;Password4;OU=Personal,OU=bedrift,DC=morten,DC=local
Ali;Behn;AliBehn1;Password5;OU=Regnskap,OU=bedrift,DC=morten,DC=local
Turid;Pedersen;TuridPedersen1;Password6;OU=Regnskap,OU=bedrift,DC=morten,DC=local
Tommy;Nilsen;TommyNilsen1;Password7;OU=Utvikling,OU=bedrift,DC=morten,DC=local
Elin;Hassam;ElinHassam1;Password8;OU=Utvikling,OU=bedrift,DC=morten,DC=local
Jan;Jansen;JanJansen1;Password9;OU=Produksjon,OU=bedrift,DC=morten,DC=local
Tine;Gustavsen;TineGustavsen1;Password10;OU=Produksjon,OU=bedrift,DC=morten,DC=local
Jens;Gunnersen;JensGunnersen1;Password11;OU=Produksjon,OU=bedrift,DC=morten,DC=local
Pia;Gran;PiaGran1;Password12;OU=Renhold,OU=bedrift,DC=morten,DC=local
Harry;Hole;HarryHole1;Password13;OU=Salg,OU=bedrift,DC=morten,DC=local
Dolly;Parton;DollyParton1;Password14;OU=Salg,OU=bedrift,DC=morten,DC=local
Donald;Kvakk;DonaldKvakk1;Password15;OU=Marked,OU=bedrift,DC=morten,DC=local
Varg;Viking;VargViking1;Password16;OU=Logistikk,OU=bedrift,DC=morten,DC=local
Helene;Boksle;HeleneBoksle1;Password17;OU=Logistikk,OU=bedrift,DC=morten,DC=local
Jenny;Skavlan;JennySkavlan1;Password18;OU=Logistikk,OU=bedrift,DC=morten,DC=local
